gene,level
TRAM1,37
NFE2L2,38
TOP2B,38
EHMT2,38
OTX2,38
SUPT4H1,38
HNRNPAB,38
MED31,38
SLA2,38
ZDHHC6,38
ZNF197,38
C1orf146,38
C7orf33,38
F8A3,38
FAM71F1,38
GIMAP1-GIMAP5,38
PAM,38
RAD51AP2,38
RGS9,38
SERPINI1,38
STXBP3,38
SYT12,38
TMEM139,38
ENO1,39
MECP2,39
MCM6,39
GLI2,39
ATF4,39
SOX17,39
TAF6,39
UBTF,39
ZBTB12,39
ACSM3,39
B4E1Z4_HUMAN,39
CCDC107,39
CHURC1-FNTB,39
DISP3,39
GSTA3,39
GSTA4,39
ITM2C,39
KIAA1841,39
PHYKPL,39
PLEKHS1,39
SELENOT,39
SEPTIN11,39
ST6GALNAC2,39
TBCA,39
TSPAN5,39
ZDHHC11B,39
ZDHHC11B-2,39
ZDHHC22,39
ZNF32,39
STAT5A,40
MCM5,40
MAPK9,40
MED12,40
MLXIPL,40
PHF21A,40
NFYB,40
ADH4,40
AGL,40
C5orf46,40
CLEC3B,40
CYP4B1,40
ENSP00000428055,40
F2RL2,40
F8A1,40
LY6G6C,40
MAST4,40
PRRT1,40
RGN,40
RHEX,40
SLC1A4,40
STPG1,40
SULT1C2,40
TEX28,40
UGP2,40
KLF4,41
ATF6,41
XRCC3,41
MED7,41
LARGE2,41
PPM1J,41
SEL1L2,41
TRMT9B,41
XXYLT1,41
ZNF728,41
NCOR1,42
RAD51B,42
ZNF160,42
CYSTM1,42
F8W6W0_HUMAN,42
PPP1R2B,42
QSOX1,42
TBL1X,43
NFKB2,43
C1D,43
ETV6,43
ARNTL,43
YEATS4,43
PLEKHH1,43
PRSS45P,43
CREB1,44
POLR2J,44
PAPOLA,44
TNFSF12,44
C12orf71,44
CFAP69,44
CHIC2,44
CPM,44
EQTN,44
LRFN4,44
LYZL4,44
NUP210L,44
RSPH10B,44
SPRYD4,44
TGM7,44
TM4SF1,44
VWA1,44
WDR93,44
ZNF578,44
SMAD4,45
AATF,45
CRY1,45
COX17,45
DCLK2,45
IQCJ-SCHIP1,45
OR2F1,45
TEX49,45
HDAC2,46
SOS1,46
IRF7,46
ABT1,46
ADPGK,46
ALG9-2,46
ANKFN1,46
B3GNT3,46
GRIK4,46
ME2,46
OR2AG1,46
SLC35C1,46
TRO,46
SMARCA4,47
TLR8,47
ZNF461,47
DNAJC25-GNG10,47
EPS8L1,47
GNG14,47
IFI27L2,47
IGHD,47
NKAIN3,47
TEX45,47
ZNF511-PRAP1,47
BMI1,48
CHD1,48
MNDA,48
HSF4,48
ZNF136,48
CEP57L1,48
HEATR4,48
LRRC55,48
OR5AK2,48
PLXNC1,48
SIRPB2,48
TRRAP,49
NOTCH3,49
HABP4,49
OLIG2,49
GTF2B,49
SRSF10,49
ASH1L,49
JMY,49
C1orf162,49
C1orf216,49
CARD17,49
CBY3,49
CMTM2,49
FAM174A,49
GIMAP7,49
OR6K6,49
PLBD1,49
PRPH,49
HEXIM1,50
SRSF5,50
CTR9,50
APBB1,50
GTF2E1,50
AIF1L,50
ASPA,50
C1QL1,50
C20orf204,50
DNAH17,50
FAM20B,50
FNDC1,50
IGHV1-3,50
IGHV3-15,50
IGKV2-40,50
IGKV2D-29,50
IGLV10-54,50
KCNK18,50
NTSR2,50
OR7G1,50
OR8B8,50
PEAK3,50
POGLUT3,50
TTC24,50
GTF2H1,51
ZNF143,51
CCDC25,51
FAM13C,51
GSAP,51
LRATD2,51
NCKAP5,51
OR2Y1,51
OSBPL1A,51
P2RX2,51
PLEKHD1,51
PRRC1,51
RNF157,51
TUBD1,51
ETS1,52
POLR1E,52
BRIP1,52
FUBP1,52
SLC35B1,52
TM9SF2,52
TMEM19,52
TRIM74,52
EOMES,53
ATF3,53
SP100,53
TAF7,53
UBP1,53
ZNF276,53
GATA6,54
ASCL1,54
NR4A1,54
GPR151,54
OR1L1,54
OR1L3,54
PVRIG,54
SLC22A31,54
SLC25A2,54
ZNF69-2,54
NF1,55
SAP18,55
FOSL2,55
POU3F2,55
HNF1B,55
SPIC,55
LAMB2,55
UPF1,56
BRD2,56
HNF1A,56
LMO2,56
RAD54B,56
ATP6V1G1,56
BTNL3,56
CLEC4F,56
NIPSNAP3A,56
NIPSNAP3B,56
RASGRP2,56
REM2,56
RUFY1,56
SLC6A18,56
SLC6A19,56
DDB1,57
MCM8,57
FOXC2,57
PMS1,57
GABPA,57
IVNS1ABP,57
PCBD2,57
ZDHHC7,57
ABCD2,57
BTBD11,57
C1orf226,57
C20orf203,57
HUNK,57
TTC17,57
MYF5,58
ASB4,58
HSF2BP,58
BRSK2,58
DHRS1,58
HROB,58
IFT22,58
LRRN4CL,58
METTL23,58
MPI,58
NANP,58
NDUFAF5,58
RGSL1,58
